dbn,school_name,school_type,enrollment,rigorous_instruction,collab_teachers,support_environ,effective_school_leadership,strong_fam_community_ties,trust,english_language_learners,students_disabilities,self_contained,economic_need_index,temp_housing,hra_eligible,asian,black,hispanic,white,teachers_3_or_more_yrs_exp,student_attendance_rate,chronically_absent,teacher_attendance_rate
23K392,I.S. 392,Middle,307,0.87,0.93,0.73,0.99,0.93,0.9,0.013,0.16,0.052,0.653,0.098,0.508,0.026,0.779,0.153,0.003,0.8,0.95,0.126,0.969
23K401,Christopher Avenue Community School,Elementary,234,0.88,0.93,0.86,0.95,0.97,0.97,0.056,0.312,0.137,0.962,0.449,0.91,0.004,0.603,0.368,0.013,0.586,0.856,0.563,0.966
23K446,Riverdale Avenue Community School,Elementary,311,0.74,0.82,0.7,0.87,0.94,0.88,0.077,0.283,0.106,0.927,0.373,0.891,0.016,0.749,0.199,0.023,0.636,0.883,0.463,0.966
23K518,Kappa V (Knowledge and Power Preparatory Academy),Middle,196,0.82,0.87,0.64,0.93,0.91,0.89,0.031,0.321,0.117,0.858,0.23,0.781,0,0.862,0.107,0.005,0.722,0.908,0.35,0.977
23K522,Mott Hall IV,Middle,173,0.73,0.84,0.78,0.9,0.91,0.92,0.012,0.329,0.145,0.875,0.15,0.792,0.006,0.873,0.11,0.006,0.909,0.901,0.37,0.97
23K599,Brooklyn Landmark Elementary School,Elementary,341,0.92,0.96,0.93,0.99,0.97,0.97,0.032,0.214,0.009,0.821,0.202,0.733,0.023,0.76,0.205,0.006,0.481,0.922,0.287,0.964
23K644,Eagle Academy for Young Men II,Middle,292,0.87,0.95,0.75,0.98,0.96,0.94,0,0.325,0.017,0.759,0.199,0.647,0,0.88,0.096,0,0.585,0.933,0.173,0.964
23K664,Brooklyn Environmental Exploration School (BEES),Middle,102,0.89,0.9,0.76,0.97,0.92,0.96,0.078,0.392,0,0.924,0.363,0.873,0.01,0.716,0.235,0.029,0.846,0.868,0.46,0.968
23K668,Riverdale Avenue Middle School,Middle,134,0.79,0.61,0.79,0.52,0.89,0.76,0.082,0.336,0.015,0.928,0.373,0.873,0.037,0.716,0.194,0.007,0.909,0.868,0.49,0.974
23K671,Mott Hall Bridges Academy,Middle,199,0.9,0.93,0.8,0.98,0.94,0.93,0.015,0.317,0.141,0.921,0.181,0.869,0.01,0.829,0.146,0.01,0.778,0.909,0.346,0.942
23K697,Teachers Preparatory High School,Middle,16,0.74,0.85,0.68,0.88,0.89,0.91,0.063,0.313,0,0.915,0.25,0.875,0,0.813,0.063,0.125,0.789,0.822,0.824,0.976
24Q005,I.S. 5 - The Walter Crowley Intermediate School,Middle,1788,0.8,0.77,0.7,0.77,0.87,0.85,0.179,0.194,0.065,0.777,0.066,0.718,0.4,0.018,0.552,0.019,0.823,0.958,0.105,0.962
24Q007,P.S. 007 Louis F. Simeone,Elementary,1328,0.89,0.94,0.93,0.94,0.96,0.95,0.407,0.135,0.05,0.777,0.07,0.716,0.605,0.003,0.358,0.028,0.892,0.956,0.113,0.963
24Q012,P.S. 012 James B. Colgate,Elementary,1157,0.86,0.87,0.86,0.91,0.96,0.87,0.303,0.156,0.062,0.749,0.097,0.666,0.551,0.001,0.406,0.032,0.963,0.958,0.096,0.962
24Q013,P.S. 013 Clement C. Moore,Elementary,1515,0.82,0.82,0.82,0.82,0.93,0.85,0.296,0.145,0.062,0.779,0.162,0.683,0.298,0.083,0.56,0.044,0.832,0.949,0.145,0.964
24Q014,P.S. 014 Fairview,Elementary,1574,0.73,0.73,0.71,0.71,0.9,0.83,0.342,0.189,0.083,0.869,0.068,0.811,0.058,0.022,0.896,0.017,0.912,0.94,0.175,0.958
24Q016,P.S. Q016 The Nancy DeBenedittis School,Elementary,1509,0.83,0.84,0.86,0.85,0.95,0.87,0.451,0.193,0.064,0.896,0.242,0.828,0.074,0.001,0.907,0.014,0.766,0.956,0.109,0.961
